lemma,lemma_normalized,pos,gloss,example,example_english,source_url,source_name,flags
abaganhan,abaganhan,adjective,broad-shouldered,,,https://en.wiktionary.org/wiki/abaganhan,wiktionary,
abansada,abansada,adjective,exposed to the wind,,,https://en.wiktionary.org/wiki/abansada,wiktionary,
abang,abang,adjective,window (opening for light and air),,,https://en.wiktionary.org/wiki/abang,wiktionary,
abayan,abayan,adjective,(anatomy) waist,,,https://en.wiktionary.org/wiki/abayan,wiktionary,
abelyana,abelyana,adjective,"brown, hazel",,,https://en.wiktionary.org/wiki/abelyana,wiktionary,
abierto,abierto,adjective,neuter of abiertu,,,https://en.wiktionary.org/wiki/abierto,wiktionary,possible_non_hiligaynon_inflection
ablaw,ablaw,adjective,"friendly, sociable",,,https://en.wiktionary.org/wiki/ablaw,wiktionary,
abo-abo,abo-abo,adjective,"the color of ash, ashen",,,https://en.wiktionary.org/wiki/abo-abo,wiktionary,
abo-abohon,abo-abohon,adjective,"ashen, ash-colored, grey, pale",,,https://en.wiktionary.org/wiki/abo-abohon,wiktionary,
abohon,abohon,adjective,the color grey,,,https://en.wiktionary.org/wiki/abohon,wiktionary,
abong,abong,adjective,(anatomy) top of head,,,https://en.wiktionary.org/wiki/abong,wiktionary,
aborido,aborido,adjective,"disturbed, uneasy, upset, worried",,,https://en.wiktionary.org/wiki/aborido,wiktionary,
aboy,aboy,adjective,spouse,,,https://en.wiktionary.org/wiki/aboy,wiktionary,
absuelto,absuelto,adjective,absolved,,,https://en.wiktionary.org/wiki/absuelto,wiktionary,
abunda,abunda,adjective,inflection of abundar: third-person singular present indicative second-person singular imperative,,,https://en.wiktionary.org/wiki/abunda,wiktionary,possible_non_hiligaynon_inflection
abyerto,abyerto,adjective,open; not closed,,,https://en.wiktionary.org/wiki/abyerto,wiktionary,
adelantado,adelantado,adjective,"(historical) A title bestowed by the king on certain nobles in the 15th-17th centuries, who granted them governorship of a province or charged them with conquering a foreign territory",,,https://en.wiktionary.org/wiki/adelantado,wiktionary,
aga-aga,aga-aga,adjective,diminutive of ága: every morning,,,https://en.wiktionary.org/wiki/aga-aga,wiktionary,
agdayan,agdayan,adjective,lazy,,,https://en.wiktionary.org/wiki/agdayan,wiktionary,
agi-agi,agi-agi,adjective,story,,,https://en.wiktionary.org/wiki/agi-agi,wiktionary,
alabuton,alabuton,adjective,"cranky, eccentric",,,https://en.wiktionary.org/wiki/alabuton,wiktionary,
alan,alan,adjective,Alternative form of alaunt.,,,https://en.wiktionary.org/wiki/alan,wiktionary,
alang-alang,alang-alang,adjective,"immature, inappropriate, inconvenient, unsuitable",,,https://en.wiktionary.org/wiki/alang-alang,wiktionary,
alasoyon,alasoyon,adjective,stately,,,https://en.wiktionary.org/wiki/alasoyon,wiktionary,
alom,alom,adjective,"a tree, Melanolepsis multiglandulosa",,,https://en.wiktionary.org/wiki/alom,wiktionary,
alunga-og,alunga-og,adjective,"(of water) flat, insipid, stagnant, stale, vapid",,,https://en.wiktionary.org/wiki/alunga-og,wiktionary,
amat,amat,adjective,definite nominative/accusative plural of amë,,,https://en.wiktionary.org/wiki/amat,wiktionary,
amaynon,amaynon,adjective,paternal,,,https://en.wiktionary.org/wiki/amaynon,wiktionary,
aminhan,aminhan,adjective,north,,,https://en.wiktionary.org/wiki/aminhan,wiktionary,
amog,amog,adjective,(obsolete) to run amok,,,https://en.wiktionary.org/wiki/amog,wiktionary,
anad,anad,adjective,accustomed to; skilled at; expert in,,,https://en.wiktionary.org/wiki/anad,wiktionary,
ananay,ananay,adjective,"gentle, mild, soft, slow, noiseless, quiet, tranquil, quietly",,,https://en.wiktionary.org/wiki/ananay,wiktionary,
andam,andam,adjective,prepared; ready,,,https://en.wiktionary.org/wiki/andam,wiktionary,
anhing,anhing,adjective,dead; deceased; late,,,https://en.wiktionary.org/wiki/anhing,wiktionary,
antipatiko,antipatiko,adjective,"repugnant, repulsive",,,https://en.wiktionary.org/wiki/antipatiko,wiktionary,
antiyado,antiyado,adjective,buff (color),,,https://en.wiktionary.org/wiki/antiyado,wiktionary,
anyil,anyil,adjective,laundry blue,,,https://en.wiktionary.org/wiki/anyil,wiktionary,
anggid,anggid,adjective,similar,,,https://en.wiktionary.org/wiki/anggid,wiktionary,
anggid-anggid,anggid-anggid,adjective,"diminutive of anggid: nearly alike, similar",,,https://en.wiktionary.org/wiki/anggid-anggid,wiktionary,
apa,apa,adjective,(international standards) ISO 639-2 & ISO 639-5 language code for Southern Athabaskan languages.,,,https://en.wiktionary.org/wiki/apa,wiktionary,
apinas,apinas,adjective,"difficult, scarce, trying",,,https://en.wiktionary.org/wiki/apinas,wiktionary,
arisgado,arisgado,adjective,daring,,,https://en.wiktionary.org/wiki/arisgado,wiktionary,
asoy,asoy,adjective,useful,,,https://en.wiktionary.org/wiki/asoy,wiktionary,
atatayog,atatayog,adjective,useless; up to no good,,,https://en.wiktionary.org/wiki/atatayog,wiktionary,
athag,athag,adjective,"clear, distinct",,,https://en.wiktionary.org/wiki/athag,wiktionary,
atrasado sa pagbayad,atrasado sa pagbayad,adjective,delinquent,,,https://en.wiktionary.org/wiki/atrasado_sa_pagbayad,wiktionary,
ba-og,ba-og,adjective,"gray, grey",,,https://en.wiktionary.org/wiki/ba-og,wiktionary,
baak,baak,adjective,crevice,,,https://en.wiktionary.org/wiki/baak,wiktionary,
baba-an,baba-an,adjective,glib; talkative,,,https://en.wiktionary.org/wiki/baba-an,wiktionary,
babayen-on,babayen-on,adjective,effeminate,,,https://en.wiktionary.org/wiki/babayen-on,wiktionary,
Bacolodnon,bacolodnon,adjective,resident or inhabitant of Bacolod,,,https://en.wiktionary.org/wiki/Bacolodnon,wiktionary,
bag-o,bag-o,adjective,new,,,https://en.wiktionary.org/wiki/bag-o,wiktionary,
bagnas,bagnas,adjective,unripe,,,https://en.wiktionary.org/wiki/bagnas,wiktionary,
bahaw,bahaw,adjective,cold (for food once served hot),,,https://en.wiktionary.org/wiki/bahaw,wiktionary,
bahol,bahol,adjective,"odor, smell, stink",,,https://en.wiktionary.org/wiki/bahol,wiktionary,
bakyas,bakyas,adjective,"(of soil) rocky, stony, barren",,,https://en.wiktionary.org/wiki/bakyas,wiktionary,
balaan,balaan,adjective,sacred; holy,,,https://en.wiktionary.org/wiki/balaan,wiktionary,
balaanon,balaanon,adjective,"(religion) saintly, blessed, holy",,,https://en.wiktionary.org/wiki/balaanon,wiktionary,
balanion,balanion,adjective,magnetic,,,https://en.wiktionary.org/wiki/balanion,wiktionary,
balason,balason,adjective,sandy,,,https://en.wiktionary.org/wiki/balason,wiktionary,
balasubas,balasubas,adjective,one who avoids meeting his obligations,,,https://en.wiktionary.org/wiki/balasubas,wiktionary,
balaynon,balaynon,adjective,"domestic, homely",,,https://en.wiktionary.org/wiki/balaynon,wiktionary,
baldado,baldado,adjective,"crippled, handicapped, maimed",,,https://en.wiktionary.org/wiki/baldado,wiktionary,
balhag,balhag,adjective,"printed, published",,,https://en.wiktionary.org/wiki/balhag,wiktionary,
bali,bali,adjective,offering,,,https://en.wiktionary.org/wiki/bali,wiktionary,
balong,balong,adjective,drunk; intoxicated,,,https://en.wiktionary.org/wiki/balong,wiktionary,
balotanog,balotanog,adjective,"insufficient, unsatisfactory",,,https://en.wiktionary.org/wiki/balotanog,wiktionary,
balung,balung,adjective,bone,,,https://en.wiktionary.org/wiki/balung,wiktionary,
bantog,bantog,adjective,fame,,,https://en.wiktionary.org/wiki/bantog,wiktionary,
bangud sa,bangud sa,adjective,concerning,,,https://en.wiktionary.org/wiki/bangud_sa,wiktionary,
baog,baog,adjective,sterile,,,https://en.wiktionary.org/wiki/baog,wiktionary,
barato,barato,adjective,neuter of baratu,,,https://en.wiktionary.org/wiki/barato,wiktionary,possible_non_hiligaynon_inflection
basa,basa,adjective,The catfish Pangasius bocourti.,,,https://en.wiktionary.org/wiki/basa,wiktionary,
basa-basa,basa-basa,adjective,to leaf through; to peruse; to skim,,,https://en.wiktionary.org/wiki/basa-basa,wiktionary,
basag,basag,adjective,characteristic of the sound of a blown speaker,,,https://en.wiktionary.org/wiki/basag,wiktionary,
basag-ulo,basag-ulo,adjective,"brainless, stupid, silly",,,https://en.wiktionary.org/wiki/basag-ulo,wiktionary,
basta,basta,adjective,"(obsolete outside Spanish/Portuguese/Italian contexts) (that's) enough; stop! c. 1590–1592 (date written), William Shakespeare, “The Taming of the Shrew”, in Mr. William Shakespeares Comedies, Histories, & Tragedies […] (First Folio), London: […] Isaac Iaggard, and Ed[ward] Blount, published 1623, →OCLC, [Act I, scene i], page 212, column 1:Baſta, content thee: for I haue it full.",,,https://en.wiktionary.org/wiki/basta,wiktionary,
bastos,bastos,adjective,plural of basto,,,https://en.wiktionary.org/wiki/bastos,wiktionary,
bat-ol,bat-ol,adjective,"dull, stupid, or obstinate",,,https://en.wiktionary.org/wiki/bat-ol,wiktionary,
batan-on,batan-on,adjective,young,,,https://en.wiktionary.org/wiki/batan-on,wiktionary,
bataon,bataon,adjective,"(Naga, informal) to court",,,https://en.wiktionary.org/wiki/bataon,wiktionary,
batid,batid,adjective,(formal) to know,,,https://en.wiktionary.org/wiki/batid,wiktionary,
batohon,batohon,adjective,"rocky, rugged, stone, stony",,,https://en.wiktionary.org/wiki/batohon,wiktionary,
batok sa kasugoan,batok sa kasugoan,adjective,"unconstitutional, unlawful",,,https://en.wiktionary.org/wiki/batok_sa_kasugoan,wiktionary,
baug,baug,adjective,barren,,,https://en.wiktionary.org/wiki/baug,wiktionary,
baw-as,baw-as,adjective,"(usually said of women) barren, childless",,,https://en.wiktionary.org/wiki/baw-as,wiktionary,
baw-ing,baw-ing,adjective,"(places) deserted, desolate, isolated, far away, lonely, secluded",,,https://en.wiktionary.org/wiki/baw-ing,wiktionary,
bawod,bawod,adjective,"(Metro Cebu, Bohol, Leyte) alternative form of balod (“wave”)",,,https://en.wiktionary.org/wiki/bawod,wiktionary,
bayud,bayud,adjective,"unsteady, shaky, unstable",,,https://en.wiktionary.org/wiki/bayud,wiktionary,
berde,berde,adjective,"A stringed instrument (chordophone) of Bosnian origin, a large guitar-shaped instrument that is played upright, using a plectrum.",,,https://en.wiktionary.org/wiki/berde,wiktionary,
bilog,bilog,adjective,round; circular; spherical,,,https://en.wiktionary.org/wiki/bilog,wiktionary,
binabaye,binabaye,adjective,a rooster with hen feathering,,,https://en.wiktionary.org/wiki/binabaye,wiktionary,
binaboy,binaboy,adjective,"hoggish, piggish",,,https://en.wiktionary.org/wiki/binaboy,wiktionary,
binata,binata,adjective,"juvenile, immature, puerile, childish",,,https://en.wiktionary.org/wiki/binata,wiktionary,
Binisaya,binisaya,adjective,Visayan,,,https://en.wiktionary.org/wiki/Binisaya,wiktionary,
binulan,binulan,adjective,monthly,,,https://en.wiktionary.org/wiki/binulan,wiktionary,
bingaw,bingaw,adjective,broken,,,https://en.wiktionary.org/wiki/bingaw,wiktionary,
birhin,birhin,adjective,virgin,,,https://en.wiktionary.org/wiki/birhin,wiktionary,
Bisaya,bisaya,adjective,An indigenous people of Borneo.,,,https://en.wiktionary.org/wiki/Bisaya,wiktionary,
bitas,bitas,adjective,to rip; to tear apart,,,https://en.wiktionary.org/wiki/bitas,wiktionary,
bitayan,bitayan,adjective,gallows; gibbet; scaffold,,,https://en.wiktionary.org/wiki/bitayan,wiktionary,
bokhon,bokhon,adjective,hairy,,,https://en.wiktionary.org/wiki/bokhon,wiktionary,
bug-at,bug-at,adjective,heavy Antonym: gaan,,,https://en.wiktionary.org/wiki/bug-at,wiktionary,
bug-os,bug-os,adjective,"complete, whole",,,https://en.wiktionary.org/wiki/bug-os,wiktionary,
bugal,bugal,adjective,arrogant,,,https://en.wiktionary.org/wiki/bugal,wiktionary,
buggaitan,buggaitan,adjective,"prominent, famous, outstanding, excelling, excellent, surpassing others in skill, the best of its kind",,,https://en.wiktionary.org/wiki/buggaitan,wiktionary,
bugnaw,bugnaw,adjective,"cold, cool",,,https://en.wiktionary.org/wiki/bugnaw,wiktionary,
buhaha,buhaha,adjective,"heedless, lavish, prodigal, wasteful",,,https://en.wiktionary.org/wiki/buhaha,wiktionary,
buhat,buhat,adjective,raise; lift; act of picking up something heavy,,,https://en.wiktionary.org/wiki/buhat,wiktionary,
buhi,buhi,adjective,to live Nabuhi si Hesukristo sa Dominggo sa PagkabanhawJesus rose again on Easter Sunday,,,https://en.wiktionary.org/wiki/buhi,wiktionary,
bukas,bukas,adjective,plural of buka,,,https://en.wiktionary.org/wiki/bukas,wiktionary,
bukidnon,bukidnon,adjective,rural,,,https://en.wiktionary.org/wiki/bukidnon,wiktionary,
bulag,bulag,adjective,to separate; to cause (things or people) to be separate,,,https://en.wiktionary.org/wiki/bulag,wiktionary,
bulahan,bulahan,adjective,lucky; fortunate; blessed,,,https://en.wiktionary.org/wiki/bulahan,wiktionary,
bunayag makig-atubang,bunayag makig-atubang,adjective,genial,,,https://en.wiktionary.org/wiki/bunayag_makig-atubang,wiktionary,
bunayag sing kabubut-on,bunayag sing kabubut-on,adjective,cordial,,,https://en.wiktionary.org/wiki/bunayag_sing_kabubut-on,wiktionary,
bundul,bundul,adjective,"slow, dull, deliberate in action",,,https://en.wiktionary.org/wiki/bundul,wiktionary,
bungul,bungul,adjective,stupid,,,https://en.wiktionary.org/wiki/bungul,wiktionary,
bus-og,bus-og,adjective,"pure, unadulterated,",,,https://en.wiktionary.org/wiki/bus-og,wiktionary,
busgon,busgon,adjective,satiated,,,https://en.wiktionary.org/wiki/busgon,wiktionary,
busong,busong,adjective,pregnant,,,https://en.wiktionary.org/wiki/busong,wiktionary,
busug,busug,adjective,"satiated, satisfied",,,https://en.wiktionary.org/wiki/busug,wiktionary,
busung,busung,adjective,alternative spelling of busong (“pregnant”),,,https://en.wiktionary.org/wiki/busung,wiktionary,
buta,buta,adjective,Alternative form of boteh.,,,https://en.wiktionary.org/wiki/buta,wiktionary,
butad,butad,adjective,to pull,,,https://en.wiktionary.org/wiki/butad,wiktionary,
butok-butok,butok-butok,adjective,diligent,,,https://en.wiktionary.org/wiki/butok-butok,wiktionary,
buung,buung,adjective,"broken, smashed",,,https://en.wiktionary.org/wiki/buung,wiktionary,
daan,daan,adjective,(now rare) old (already used),,,https://en.wiktionary.org/wiki/daan,wiktionary,
dagaang,dagaang,adjective,"red, scarlet",,,https://en.wiktionary.org/wiki/dagaang,wiktionary,
dagangdang,dagangdang,adjective,"red, scarlet",,,https://en.wiktionary.org/wiki/dagangdang,wiktionary,
daginit,daginit,adjective,"(of wind) gentle, soft, mild, tender, warm",,,https://en.wiktionary.org/wiki/daginit,wiktionary,
dagway nga makahuhuya,dagway nga makahuhuya,adjective,shabby,,,https://en.wiktionary.org/wiki/dagway_nga_makahuhuya,wiktionary,
daku,daku,adjective,(anatomy) back,,,https://en.wiktionary.org/wiki/daku,wiktionary,
daku kaayo,daku kaayo,adjective,very big,,,https://en.wiktionary.org/wiki/daku_kaayo,wiktionary,
daku-daku,daku-daku,adjective,diminutive of daku,,,https://en.wiktionary.org/wiki/daku-daku,wiktionary,
dalag,dalag,adjective,mudfish,,,https://en.wiktionary.org/wiki/dalag,wiktionary,
dalagku,dalagku,adjective,"big, large",,,https://en.wiktionary.org/wiki/dalagku,wiktionary,
dalamhak,dalamhak,adjective,wayward,,,https://en.wiktionary.org/wiki/dalamhak,wiktionary,
dalang-dalang,dalang-dalang,adjective,astray,,,https://en.wiktionary.org/wiki/dalang-dalang,wiktionary,
dalayawon,dalayawon,adjective,"great, praiseworthy, laudable",,,https://en.wiktionary.org/wiki/dalayawon,wiktionary,
dalisay,dalisay,adjective,pure,,,https://en.wiktionary.org/wiki/dalisay,wiktionary,
dalitan,dalitan,adjective,"poisonous, venomous",,,https://en.wiktionary.org/wiki/dalitan,wiktionary,
dalok,dalok,adjective,"greedy, gluttonous",,,https://en.wiktionary.org/wiki/dalok,wiktionary,
dalum,dalum,adjective,(of depth) deep,,,https://en.wiktionary.org/wiki/dalum,wiktionary,
damak,damak,adjective,"dirty, slovenly, untidy",,,https://en.wiktionary.org/wiki/damak,wiktionary,
dapit,dapit,adjective,regarding; about,,,https://en.wiktionary.org/wiki/dapit,wiktionary,
dasig,dasig,adjective,"(Austria, Switzerland, possibly dated) confused, intimidated (The addition of quotations indicative of this usage is being sought:)",,,https://en.wiktionary.org/wiki/dasig,wiktionary,
delana,delana,adjective,woolen,,,https://en.wiktionary.org/wiki/delana,wiktionary,
dimaisip,dimaisip,adjective,"countless, innumerable",,,https://en.wiktionary.org/wiki/dimaisip,wiktionary,
dimalas,dimalas,adjective,unlucky; unfortunate,,,https://en.wiktionary.org/wiki/dimalas,wiktionary,
dimasaysay,dimasaysay,adjective,"inexplicable, mysterious",,,https://en.wiktionary.org/wiki/dimasaysay,wiktionary,
dimatarung,dimatarung,adjective,dishonest,,,https://en.wiktionary.org/wiki/dimatarung,wiktionary,
dimatungkad,dimatungkad,adjective,"bottomless, inscrutable, unfathomable",,,https://en.wiktionary.org/wiki/dimatungkad,wiktionary,
dingot,dingot,adjective,nominative plural of dingo,,,https://en.wiktionary.org/wiki/dingot,wiktionary,
Diosnon,diosnon,adjective,devout,,,https://en.wiktionary.org/wiki/Diosnon,wiktionary,
diosnon,diosnon,adjective,"divine, godly, godlike, pious",,,https://en.wiktionary.org/wiki/diosnon,wiktionary,
dipaha,dipaha,adjective,made of straw,,,https://en.wiktionary.org/wiki/dipaha,wiktionary,
diyotay,diyotay,adjective,"little, small",,,https://en.wiktionary.org/wiki/diyotay,wiktionary,
diyutay,diyutay,adjective,"Deprecated, pre-2014 spelling of diyotay.",,,https://en.wiktionary.org/wiki/diyutay,wiktionary,
dorado,dorado,adjective,"A mahi-mahi or dolphinfish (Coryphaena hippurus), fish with a dorsal fin that runs the length of the body, also known for iridescent coloration.",,,https://en.wiktionary.org/wiki/dorado,wiktionary,
dugoon,dugoon,adjective,"bloody, gory",,,https://en.wiktionary.org/wiki/dugoon,wiktionary,
dugus,dugus,adjective,the best part of a thing,,,https://en.wiktionary.org/wiki/dugus,wiktionary,
dumaan,dumaan,adjective,old,,,https://en.wiktionary.org/wiki/dumaan,wiktionary,
dunot,dunot,adjective,decayed; rotten,,,https://en.wiktionary.org/wiki/dunot,wiktionary,
dupak,dupak,adjective,"dirty, foul, obscene, smutty",,,https://en.wiktionary.org/wiki/dupak,wiktionary,
dutan-on,dutan-on,adjective,"earthly, worldly",,,https://en.wiktionary.org/wiki/dutan-on,wiktionary,
enkantado,enkantado,adjective,magical,,,https://en.wiktionary.org/wiki/enkantado,wiktionary,
gabuk,gabuk,adjective,"rotten, decayed, decomposed",,,https://en.wiktionary.org/wiki/gabuk,wiktionary,
gago,gago,adjective,jerk; bastard,,,https://en.wiktionary.org/wiki/gago,wiktionary,
gamay,gamay,adjective,Alternative letter-case form of Gamay.,,,https://en.wiktionary.org/wiki/gamay,wiktionary,
gambal,gambal,adjective,bulky,,,https://en.wiktionary.org/wiki/gambal,wiktionary,
garot,garot,adjective,dense,,,https://en.wiktionary.org/wiki/garot,wiktionary,
gastado,gastado,adjective,past participle of gastar,,,https://en.wiktionary.org/wiki/gastado,wiktionary,
ginsugoran,ginsugoran,adjective,elementary,,,https://en.wiktionary.org/wiki/ginsugoran,wiktionary,
gipak,gipak,adjective,broken,,,https://en.wiktionary.org/wiki/gipak,wiktionary,
gulang,gulang,adjective,mature (fruits) Antonym: linghod,,,https://en.wiktionary.org/wiki/gulang,wiktionary,
